,id,Venue,Locality,Sector,Venue Latitude,Venue Longitude,Local Latitude,Local Longitude,Distance
2944,4cb94bc17148f04d95ebd5ab,Shabari Restaurent,Oshiwara,West,19.15032911825602,72.83513606266574,19.1502437,72.83422940000001,95.64961455274238
504,4cc39d761e596dcb0c11cc67,Panchratna Jalebi House,Girgaon,South,18.954824968508206,72.81713096387607,18.9543165,72.8179082,99.32495924254313
3486,4e187d7fa8097d08b2374c91,Deepak Only Veg,Borivali West,North,19.228596381359882,72.84825222860009,19.2294561,72.84799050000001,99.40498437550787
1388,4b87b1f8f964a52084c731e3,Sharda Bhavan,Matunga,West,19.026783363690182,72.85084053972544,19.027435600000004,72.85014670000001,102.79272409057009
2299,5596474e498ebeaf9cb31bc7,Burger King,Saki Naka,East,19.107589968755946,72.88284726769875,19.1082208,72.88358240000001,104.271713606584
2477,4ccd7176ee23a143b6de25a8,Utsav Cuisine,Powai,East,19.118324275701735,72.90643711153825,19.1187195,72.9073476,105.20353217336823
1261,4b0587daf964a52050a422e3,Shree Krishna Batata Wada,Dadar,South,19.020152402788565,72.8424739489936,19.019282,72.8428757,105.53157936724048
558,4d73b3cc946b6dcb92c84f7a,Chinese-n-Grill,Mandvi,South,18.954864340418663,72.83380395481826,18.9550564,72.83479190000001,106.00310270672101
3122,4e6089b418a8ce02fc01b6f0,Achija Fast Food Hotel,Mulund (West),East,19.17150161805354,72.95030059823549,19.1719717,72.95119559999999,107.4882994125385
723,51a4a3aa498e557632cbd624,Cafe Coffee Day,Mazgaon,South,18.96880665535207,72.84065199926543,18.968051899999995,72.84001187036267,107.51759165723811
1869,50991a0be4b0fd23879a1610,Love And Cheesecake,Khar,West,19.071487460042363,72.8337550163269,19.072457500000002,72.8337068,107.91467935861685
3272,4d52a8d8d7eaa143520d810f,JB Dynasty,Orlem,North,19.194122779771025,72.83800367291008,19.1944819,72.8389662,108.6121334040717
3536,4e4d2c5caeb77d4a40e4b425,Chotu's Kitchen,Mount Poinsur,North,19.243657710602214,72.85183286273795,19.2432246,72.8527611,108.63101046741242
2491,506722e0e4b08b7059b50e38,China Valley,Powai,East,19.118008584982817,72.90661675692098,19.1187195,72.9073476,110.13365255897087
1720,50d17e05e4b0ef9bea155d4f,Chinar Restuarant,Bandra (East),West,19.060671141289504,72.8499468773504,19.0616565,72.8498111,110.42286646410588
644,4ed78a5e722ec4ce1f191b6d,Sadguru Restaurant,Dongri,South,18.961561577454198,72.83601308185608,18.9622265,72.836795,110.51019140694612
